Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
237488,GATE PETROLEUM 1445,506 NW 13th St,,Gainesville,FL,32601,4907,ALACHUA,Convenience Store,29.656073,-82.339294,,,-9165968.280357646,3459417.3990557115
245647,CVS Pharmacy 4629,6025 SE US Highway 301,,Hawthorne,FL,32640,7316,ALACHUA,Other,29.59815,-82.086731,,,-9137853.095804423,3451999.6516487105
247122,PUBLIX 1376,4115 NW 16th Blvd,,Gainesville,FL,32605,3505,ALACHUA,Supermarket,29.673023,-82.386696,,,-9171245.04686023,3461588.8607300296
282559,Fast Track Foods 313,101 Main Dr,,Interlachen,FL,32148,4378,PUTNAM,Convenience Store,29.660896,-81.887367,,,-9115659.996841915,3460035.2355407123
287134,Circle K 2721310,4103 SW 43rd St,,Gainesville,FL,32608,2217,ALACHUA,Convenience Store,29.616262,-82.389183,,,-9171521.898433832,3454318.656211547
288538,Circle K 2726051,2652 SE State Road 21,,Melrose,FL,32666,5301,BRADFORD,Convenience Store,29.755117,-82.057083,,,-9134552.695541386,3472111.0947480244
305041,Circle K 2726161,45 SW 250th St,,Newberry,FL,32669,3432,ALACHUA,Convenience Store,29.646111,-82.606529,,,-9195716.744479785,3458141.339557622
317458,Circle K 2721295,14300 W Newberry Rd,,Newberry,FL,32669,2805,ALACHUA,Convenience Store,29.654037,-82.496269,,,-9183442.65742492,3459156.5920451153
320013,Circle K 2722577,1119 State Road 100,,Florahome,FL,32140,2959,PUTNAM,Convenience Store,29.732693,-81.882622,,,-9115131.785858098,3469236.0890476396
320890,Walmart Supercenter 538,5700 NW 23rd St,,Gainesville,FL,32653,2084,ALACHUA,Super Store,29.710114,-82.356133,,,-9167842.789263114,3466341.8598842993
337444,Walgreens 5994,7520 W Newberry Rd,,Gainesville,FL,32606,6728,ALACHUA,Other,29.659819,-82.422554,,,-9175236.741161095,3459897.2669981015
342908,CVS Pharmacy 5181,2303 SW 75th St,,Gainesville,FL,32607,3425,ALACHUA,Other,29.630701,-82.42244,,,-9175224.050739143,3456167.6797267394
372658,WARD'S SUPERMARKET,515 NW 23rd Ave,,Gainesville,FL,32609,8527,ALACHUA,Super Store,29.673912,-82.329514,,,-9164879.575737689,3461702.760471743
378019,PUBLIX 0306,1200 NW 76th Blvd,,Gainesville,FL,32606,6750,ALACHUA,Supermarket,29.663242,-82.424042,,,-9175402.384563394,3460335.773801835
387396,WINN DIXIE 0197,300 SW 16th Ave,,Gainesville,FL,32601,8540,ALACHUA,Supermarket,29.636257,-82.32869,,,-9164787.848477272,3456879.2382942997
402008,Circle K 2726009,400 State Road 26,,Melrose,FL,32666,3909,PUTNAM,Convenience Store,29.709688,-82.044067,,,-9133103.76104922,3466287.2604624755
405738,Circle K 2721002,4310 SE Hawthorne Rd,,Gainesville,FL,32641,8909,ALACHUA,Convenience Store,29.635305,-82.272263,,,-9158506.42357028,3456757.3125853566
415726,Publix 1459,1968 NE 5th Ave,asd fasdfg sadf,Alachua,FL,33431,7702,PALM BEACH,Supermarket,29.65555,-82.299637,,,-9161553.683311258,3459350.403430989
420802,PUBLIX 0690,14130 W Newberry Rd,,Newberry,FL,32669,2759,ALACHUA,Supermarket,29.654049,-82.494583,,,-9183254.972763443,3459158.12920261
452198,PUBLIX 0435,5200 NW 43rd St,Ste 401,Gainesville,FL,32606,4483,ALACHUA,Supermarket,29.70196,-82.388916,,,-9171492.176129788,3465296.8210218716
452965,CVS Pharmacy 5160,3904 NW 13th St,,Gainesville,FL,32609,1937,ALACHUA,Other,29.68931,-82.339111,,,-9165947.90889083,3463675.7304276256
461311,Walgreens 4272,1170 E University Ave,,Gainesville,FL,32641,5614,ALACHUA,Other,29.651993,-82.310402,,,-9162752.037629645,3458894.7655600235
465084,JIFFY FOOD STORE 316,1110 S Main St,,Bell,FL,32619,2378,GILCHRIST,Convenience Store,29.754145,-82.861885,,,-9224142.844370794,3471986.4602261228
473072,PUBLIX 0795,1302 N Main St,,Gainesville,FL,32601,2346,ALACHUA,Supermarket,29.663858,-82.3246,,,-9164332.55175993,3460414.688675767
500797,Circle K 2721223,5200 NE Waldo Rd,,Gainesville,FL,32609,1605,ALACHUA,Convenience Store,29.701187,-82.278404,,,-9159190.036563242,3465197.7556380644
500862,CVS Pharmacy 4139,4145 NW 53rd Ave,,Gainesville,FL,32653,4404,ALACHUA,Other,29.703234,-82.387932,,,-9171382.63775085,3465460.0947412164
502721,Circle K 2721138,4234 SW 20th Ave,,Gainesville,FL,32607,4206,ALACHUA,Convenience Store,29.635864,-82.388496,,,-9171445.421943657,3456828.905377709
503444,Sunrise Food Mart,4221 E University Ave,,Gainesville,FL,32641,6028,ALACHUA,Convenience Store,29.651814,-82.272865,,,-9158573.43790374,3458871.8367815325
507274,CVS Pharmacy 1815,4119 NW 16th Blvd,,Gainesville,FL,32605,3505,ALACHUA,Other,29.673046,-82.386742,,,-9171250.167556804,3461591.807504808
534024,Circle K 2721309,705 N Main St,,Trenton,FL,32693,3405,GILCHRIST,Convenience Store,29.61729,-82.81842,,,-9219304.342703464,3454450.2906525484
548823,Walgreens 5024,2415 SW 75th St,,Gainesville,FL,32607,6630,ALACHUA,Other,29.630577,-82.422417,,,-9175221.490390856,3456151.799457728
558834,Dandy Market,1314 E University Ave,,Gainesville,FL,32641,5713,ALACHUA,Grocery Store,29.652002,-82.308487,,,-9162538.860804778,3458895.918404713
559942,CVS Pharmacy 3663,1141 State Road 20,,Interlachen,FL,32148,5406,PUTNAM,Other,29.627863,-81.88636,,,-9115547.898114685,3455804.231368991
593201,Circle K 2721102,5708 NW 34th St,,Gainesville,FL,32653,    ,ALACHUA,Convenience Store,29.706884,-82.356216,,,-9167852.02878085,3465927.8841326637
603700,GATE PETROLEUM 1137,3001 NW 13th St,,Gainesville,FL,32609,2800,ALACHUA,Convenience Store,29.68049,-82.338982,,,-9165933.548676519,3462545.57298194
604212,Walgreens 4037,1615 NW 13th St,,Gainesville,FL,32609,3418,ALACHUA,Other,29.667171,-82.339073,,,-9165943.678750182,3460839.120628953
605172,Fast Track Foods 220,11921 NW US Highway 441,,Gainesville,FL,32653,1056,ALACHUA,Convenience Store,29.764517,-82.408058,,,-9173623.053822553,3473316.470401399
621136,Circle K 2726270,4030 SW 13th St,,Gainesville,FL,32608,3514,ALACHUA,Convenience Store,29.615225,-82.340843,,,-9166140.714248884,3454185.8706891867
624476,PUBLIX 0527,5801 SW 75th St,,Gainesville,FL,32608,8513,ALACHUA,Supermarket,29.601398,-82.422073,,,-9175183.196486022,3452415.4848913564
634593,CVS Pharmacy 3255,3404 SW Archer Rd,,Gainesville,FL,32608,2409,ALACHUA,Other,29.626722,-82.372971,,,-9169717.186849091,3455658.112134772
634994,Circle K 2721220,7404 NE Waldo Rd,,Gainesville,FL,32609,5204,ALACHUA,Convenience Store,29.722214,-82.260551,,,-9157202.649694113,3467892.7852843245
644139,PUBLIX 0537,3720 NW 13th St Ste 9,,Gainesville,FL,32609,5910,ALACHUA,Supermarket,29.686352,-82.339134,,,-9165950.46923912,3463296.6937823473
647945,Circle K 2726211,8090 State Road 100,,Keystone Heights,FL,32656,9415,CLAY,Convenience Store,29.761086,-82.001686,,,-9128385.929709911,3472876.4951840895
663614,DOLLAR GENERAL 6106,13327 W Newberry Rd,,Newberry,FL,32669,2705,ALACHUA,Other,29.655376,-82.484871,,,-9182173.837868858,3459328.1143328412
664819,Circle K 2722006,1986 State Road 20,,Hawthorne,FL,32640,    ,PUTNAM,Convenience Store,29.607758,-82.025757,,,-9131065.501172796,3453229.7784284665
668077,PUBLIX 0735,9200 NW 39th Ave,,Gainesville,FL,32606,7331,ALACHUA,Supermarket,29.689035,-82.440498,,,-9177234.258103888,3463640.4915943467
697954,INDIA BAZAAR,3550 SW 34th St,Ste J,Gainesville,FL,32608,6521,ALACHUA,Grocery Store,29.620869,-82.372894,,,-9169708.6152483,3454908.5887384005
713040,Circle K 2726146,3525 SW 34th St,,Gainesville,FL,32608,2505,ALACHUA,Convenience Store,29.621847,-82.372658,,,-9169682.343848472,3455033.826419852
722784,Circle K 2726265,15089 NW US Highway 441,,Alachua,FL,32615,6558,ALACHUA,Convenience Store,29.793674,-82.493973,,,-9183187.067874057,3477056.0345759336
724034,PUBLIX 0680,3100 SW 35th Blvd,,Gainesville,FL,32608,2415,ALACHUA,Supermarket,29.624887,-82.377892,,,-9170264.990063284,3455423.1210438176
732766,DOLLAR GENERAL 7253,3186 SE State Road 21,,Melrose,FL,32666,5333,BRADFORD,Other,29.762402,-82.055046,,,-9134325.93773864,3473045.251020558
734730,DOLLAR GENERAL 1401,300 Green Way,,Keystone Heights,FL,32656,7665,CLAY,Other,29.7852,-82.029465,,,-9131478.273844657,3475969.0798116666
735079,Dollar General 818,702 N Main St,,Trenton,FL,32693,3403,GILCHRIST,Other,29.617535,-82.818336,,,-9219294.991866237,3454481.662872114
735896,DOLLAR GENERAL 7616,1470 N Main St,,Bell,FL,32619,4816,GILCHRIST,Other,29.757828,-82.864128,,,-9224392.533988642,3472458.7186134486
736458,DOLLAR GENERAL 1635,15250 NW US Highway 441,,Alachua,FL,32615,8604,ALACHUA,Other,29.794985,-82.496513,,,-9183469.819380673,3477224.2039599284
736923,DOLLAR GENERAL 7143,13470 SW State Road 45,,Archer,FL,32618,5562,ALACHUA,Other,29.530361,-82.519165,,,-9185991.428486122,3443323.849815928
737003,DOLLAR GENERAL 10535,145 NE 39th Ave,,Gainesville,FL,32609,1724,ALACHUA,Other,29.688293,-82.321678,,,-9164007.276207833,3463545.4112962005
758741,DOLLAR GENERAL 8043,22355 SE 71st Ave,,Hawthorne,FL,32640,3966,ALACHUA,Other,29.588551,-82.084167,,,-9137567.67263003,3450770.7941578072
758934,DOLLAR GENERAL 8602,25150 W Newberry Rd,,Newberry,FL,32669,4250,ALACHUA,Other,29.646448,-82.609024,,,-9195994.486609315,3458184.504734369
760009,PUBLIX 1111,2755 SW 91st St,,Gainesville,FL,32608,2749,ALACHUA,Supermarket,29.628103,-82.437592,,,-9176910.763663642,3455834.9665631778
764227,PUBLIX 1038,5200 SW 34th St,,Gainesville,FL,32608,5010,ALACHUA,Supermarket,29.602118,-82.369911,,,-9169376.549207265,3452507.6664875373
764778,Dollar General 1391,1113 SR 20,,Interlachen,FL,32148,    ,PUTNAM,Other,29.628977,-81.880402,,,-9114884.65658854,3455946.894514188
775031,SUNRISE FOOD MART 58,1542 NE 23rd Ave,,Gainesville,FL,32609,3907,ALACHUA,Convenience Store,29.673859,-82.304764,,,-9162124.418340554,3461695.970020221
777814,WALGREEN 09304,3455 SW Archer Rd,,Gainesville,FL,32608,2408,ALACHUA,Other,29.625362,-82.374161,,,-9169849.657043135,3455483.949389791
786542,WALGREEN 09421,115 N Lawrence Blvd,,Keystone Heights,FL,32656,9351,CLAY,Other,29.786375,-82.030922,,,-9131640.466342743,3476119.790843113
806576,WALGREEN 09617,9125 NW 39th Ave,,Gainesville,FL,32606,7372,ALACHUA,Other,29.68878,-82.439476,,,-9177120.489584297,3463607.8156714705
817629,Target Store T-687,3970 SW Archer Rd,,Gainesville,FL,32608,2342,ALACHUA,Super Store,29.619062,-82.383041,,,-9170838.17412138,3454677.196751349
827361,EZ FOOD MART,1425 SE Hawthorne Rd,,Gainesville,FL,32641,7213,ALACHUA,Convenience Store,29.651764,-82.307121,,,-9162386.798380353,3458865.432102087
827684,Circle K 2721424,3838 N Main St,,Gainesville,FL,32609,2335,ALACHUA,Convenience Store,29.688141,-82.319405,,,-9163754.24700526,3463525.934017174
836013,Family Dollar Store 3005,1028 N Main St,,Gainesville,FL,32601,2347,ALACHUA,Other,29.6614,-82.324615,,,-9164334.22155229,3460099.800714183
836025,Family Dollar Store 3170,2286 SE Hawthorne Rd,,Gainesville,FL,32641,7552,ALACHUA,Other,29.645645,-82.29454,,,-9160986.287866684,3458081.6514503784
837712,Circle K 2721307,20 NE Waldo Rd,,Gainesville,FL,32641,5659,ALACHUA,Convenience Store,29.652739,-82.311058,,,-9162825.063215608,3458990.3239251547
838253,Circle K 2721420,1137 State Road 20,,Interlachen,FL,32148,5406,PUTNAM,Convenience Store,29.628153,-81.884331,,,-9115322.030867867,3455841.3697378486
838958,Family Dollar Store 1706,7380 State Road 100,Ste 20,Keystone Hgts,FL,32656,8641,CLAY,Other,29.791508,-82.04081,,,-9132741.193467706,3476778.194333598
838968,Family Dollar Store 7638,109 S County Road 315,,Interlachen,FL,32148,5421,PUTNAM,Other,29.626459,-81.886642,,,-9115579.290211089,3455624.4319499955
